2026-05-21 05:45:20.099926,192.168.1.10,Brute Force Attack,HIGH,Blocked IP,SUCCESS
2026-05-21 05:45:21.500945,192.168.1.60,Brute Force Attack,HIGH,Detected,Detected
2026-05-21 05:45:22.375265,192.168.1.50,Brute Force Attack,HIGH,Blocked IP,SUCCESS
2026-05-21 05:45:24.166598,192.168.1.10,Manual Response,INFO,Unblocked IP,SUCCESS
2026-05-21 05:45:25.766820,192.168.1.10,Brute Force Attack,HIGH,Blocked IP,SUCCESS
2026-05-21 05:45:55.839663,192.168.1.60,Brute Force Attack,HIGH,Detected,Detected
2026-05-21 05:46:06.165218,192.168.1.60,Brute Force Attack,HIGH,Detected,Detected
2026-05-21 05:46:30.969260,192.168.1.60,Brute Force Attack,HIGH,Detected,Detected
2026-05-21 05:46:33.109671,192.168.1.60,Brute Force Attack,HIGH,Detected,Detected
2026-05-21 05:46:56.753497,192.168.1.60,Brute Force Attack,HIGH,Detected,Detected
2026-05-21 05:46:59.403185,192.168.1.60,Brute Force Attack,HIGH,Detected,Detected
2026-05-21 05:47:23.945658,192.168.1.60,Brute Force Attack,HIGH,Detected,Detected
2026-05-21 05:47:39.404081,192.168.1.10,Brute Force Attack,HIGH,Blocked IP,SUCCESS
2026-05-21 05:47:40.305307,192.168.1.60,Brute Force Attack,HIGH,Detected,Detected
2026-05-21 05:47:44.942210,192.168.1.10,Manual Response,INFO,Unblocked IP,SUCCESS
2026-05-21 05:47:46.501314,192.168.1.60,Brute Force Attack,HIGH,Detected,Detected
2026-05-21 05:48:02.434450,192.168.1.10,Brute Force Attack,HIGH,Blocked IP,SUCCESS
2026-05-21 05:48:05.668288,192.168.1.60,Brute Force Attack,HIGH,Blocked IP,SUCCESS
2026-05-21 05:49:31.511567,192.168.1.10,Brute Force Attack,HIGH,Blocked IP,SUCCESS
2026-05-21 05:49:34.109671,192.168.1.60,Brute Force Attack,HIGH,Blocked IP,SUCCESS
2026-05-21 05:49:36.479662,192.168.1.50,Brute Force Attack,HIGH,Blocked IP,SUCCESS
2026-05-21 05:49:38.517621,192.168.1.60,Brute Force Attack,HIGH,Blocked IP,SUCCESS
2026-05-21 05:53:11.293521,192.168.1.10,Brute Force Attack,HIGH,Blocked IP,SUCCESS
2026-05-21 09:06:34.257679,192.168.1.60,Brute Force Attack,HIGH,Detected,Detected
2026-05-21 09:06:37.510384,192.168.1.50,Brute Force Attack,HIGH,Detected,Detected
2026-05-21 09:06:47.726397,192.168.1.60,Brute Force Attack,HIGH,Detected,Detected
2026-05-21 09:06:49.851084,192.168.1.60,Brute Force Attack,HIGH,Detected,Detected
2026-05-21 09:06:56.056189,192.168.1.60,Brute Force Attack,HIGH,Detected,Detected
2026-05-21 09:06:59.509167,192.168.1.60,Brute Force Attack,HIGH,Detected,Detected
2026-05-21 09:07:17.484897,192.168.1.60,Brute Force Attack,HIGH,Detected,Detected
2026-05-21 09:07:19.597980,192.168.1.60,Brute Force Attack,HIGH,Detected,Detected
2026-05-21 09:07:28.329357,192.168.1.60,Brute Force Attack,HIGH,Detected,Detected
2026-05-21 09:07:34.096892,192.168.1.60,Brute Force Attack,HIGH,Blocked IP,SUCCESS
2026-05-21 09:07:38.921439,192.168.1.50,Brute Force Attack,HIGH,Detected,Detected
2026-05-21 09:07:45.269138,192.168.1.50,Brute Force Attack,HIGH,Detected,Detected
2026-05-21 09:07:51.524409,192.168.1.50,Brute Force Attack,HIGH,Detected,Detected
